team,season,month,personnel,chassis_aero,operations,tooling,catering,it_sim,other,season_cap,data_source
Mercedes,2021,7,4.8,3.16,1.89,1.26,0.5,0.5,0.5,147.4,estimated
Mercedes,2021,8,4.82,3.17,1.9,1.27,0.51,0.51,0.51,147.4,estimated
Mercedes,2021,9,4.73,3.11,1.87,1.24,0.5,0.5,0.5,147.4,estimated
Mercedes,2021,10,4.45,2.93,1.76,1.17,0.47,0.47,0.47,147.4,estimated
Mercedes,2021,11,4.66,3.07,1.84,1.23,0.49,0.49,0.49,147.4,estimated
Mercedes,2021,12,4.39,2.89,1.73,1.16,0.46,0.46,0.46,147.4,estimated
Mercedes,2022,1,4.16,2.74,1.64,1.1,0.44,0.44,0.44,142.4,estimated
Mercedes,2022,2,4.03,2.65,1.59,1.06,0.42,0.42,0.42,142.4,estimated
Mercedes,2022,3,4.67,3.07,1.84,1.23,0.49,0.49,0.49,142.4,estimated
Mercedes,2022,4,4.39,2.89,1.73,1.16,0.46,0.46,0.46,142.4,estimated
Mercedes,2022,5,4.69,3.09,1.85,1.23,0.49,0.49,0.49,142.4,estimated
Mercedes,2022,6,4.81,3.17,1.9,1.27,0.51,0.51,0.51,142.4,estimated
Mercedes,2022,7,4.53,2.98,1.79,1.19,0.48,0.48,0.48,142.4,estimated
Mercedes,2022,8,4.54,2.99,1.79,1.2,0.48,0.48,0.48,142.4,estimated
Mercedes,2022,9,4.59,3.02,1.81,1.21,0.48,0.48,0.48,142.4,estimated
Mercedes,2022,10,4.38,2.88,1.73,1.15,0.46,0.46,0.46,142.4,estimated
Mercedes,2022,11,4.16,2.74,1.64,1.1,0.44,0.44,0.44,142.4,estimated
Mercedes,2022,12,4.16,2.73,1.64,1.09,0.44,0.44,0.44,142.4,estimated
Mercedes,2023,1,3.79,2.49,1.5,1.0,0.4,0.4,0.4,137.4,estimated
Mercedes,2023,2,4.06,2.67,1.6,1.07,0.43,0.43,0.43,137.4,estimated
Mercedes,2023,3,4.22,2.78,1.67,1.11,0.44,0.44,0.44,137.4,estimated
Mercedes,2023,4,4.61,3.03,1.82,1.21,0.49,0.49,0.49,137.4,estimated
Mercedes,2023,5,4.36,2.87,1.72,1.15,0.46,0.46,0.46,137.4,estimated
Mercedes,2023,6,4.34,2.85,1.71,1.14,0.46,0.46,0.46,137.4,estimated
Mercedes,2023,7,4.6,3.03,1.82,1.21,0.48,0.48,0.48,137.4,estimated
Mercedes,2023,8,4.31,2.83,1.7,1.13,0.45,0.45,0.45,137.4,estimated
Mercedes,2023,9,4.45,2.92,1.75,1.17,0.47,0.47,0.47,137.4,estimated
Mercedes,2023,10,4.45,2.93,1.76,1.17,0.47,0.47,0.47,137.4,estimated
Mercedes,2023,11,4.01,2.64,1.58,1.06,0.42,0.42,0.42,137.4,estimated
Mercedes,2023,12,4.03,2.65,1.59,1.06,0.42,0.42,0.42,137.4,estimated
RedBull,2021,1,4.39,2.89,1.73,1.16,0.46,0.46,0.46,147.4,FIA_confirmed
RedBull,2021,2,4.55,3.0,1.8,1.2,0.48,0.48,0.48,147.4,FIA_confirmed
RedBull,2021,3,4.64,3.05,1.83,1.22,0.49,0.49,0.49,147.4,FIA_confirmed
RedBull,2021,4,4.72,3.11,1.86,1.24,0.5,0.5,0.5,147.4,FIA_confirmed
RedBull,2021,5,5.02,3.3,1.98,1.32,0.53,0.53,0.53,147.4,FIA_confirmed
RedBull,2021,6,4.9,3.22,1.93,1.29,0.52,0.52,0.52,147.4,FIA_confirmed
RedBull,2021,7,5.03,3.31,1.99,1.32,0.53,0.53,0.53,147.4,FIA_confirmed
RedBull,2021,8,5.0,3.29,1.97,1.32,0.53,0.53,0.53,147.4,FIA_confirmed
RedBull,2021,9,4.81,3.16,1.9,1.27,0.51,0.51,0.51,147.4,FIA_confirmed
RedBull,2021,10,4.8,3.16,1.89,1.26,0.51,0.51,0.51,147.4,FIA_confirmed
RedBull,2021,11,4.71,3.1,1.86,1.24,0.5,0.5,0.5,147.4,FIA_confirmed
RedBull,2021,12,4.35,2.86,1.72,1.14,0.46,0.46,0.46,147.4,FIA_confirmed
RedBull,2022,1,4.24,2.79,1.67,1.12,0.45,0.45,0.45,142.4,estimated
RedBull,2022,2,4.15,2.73,1.64,1.09,0.44,0.44,0.44,142.4,estimated
RedBull,2022,3,4.27,2.81,1.69,1.12,0.45,0.45,0.45,142.4,estimated
RedBull,2022,4,4.59,3.02,1.81,1.21,0.48,0.48,0.48,142.4,estimated
RedBull,2022,5,4.43,2.91,1.75,1.17,0.47,0.47,0.47,142.4,estimated
RedBull,2022,6,4.57,3.0,1.8,1.2,0.48,0.48,0.48,142.4,estimated
RedBull,2022,7,4.74,3.12,1.87,1.25,0.5,0.5,0.5,142.4,estimated
RedBull,2022,8,4.45,2.93,1.76,1.17,0.47,0.47,0.47,142.4,estimated
RedBull,2022,9,4.63,3.05,1.83,1.22,0.49,0.49,0.49,142.4,estimated
RedBull,2022,10,4.44,2.92,1.75,1.17,0.47,0.47,0.47,142.4,estimated
RedBull,2022,11,4.4,2.9,1.74,1.16,0.46,0.46,0.46,142.4,estimated
RedBull,2022,12,4.33,2.85,1.71,1.14,0.46,0.46,0.46,142.4,estimated
RedBull,2023,1,3.87,2.54,1.53,1.02,0.41,0.41,0.41,137.4,estimated
RedBull,2023,2,3.89,2.56,1.53,1.02,0.41,0.41,0.41,137.4,estimated
RedBull,2023,3,4.2,2.76,1.66,1.1,0.44,0.44,0.44,137.4,estimated
RedBull,2023,4,4.29,2.82,1.69,1.13,0.45,0.45,0.45,137.4,estimated
RedBull,2023,5,4.42,2.91,1.74,1.16,0.47,0.47,0.47,137.4,estimated
RedBull,2023,6,4.39,2.89,1.73,1.16,0.46,0.46,0.46,137.4,estimated
RedBull,2023,7,4.5,2.96,1.78,1.19,0.47,0.47,0.47,137.4,estimated
RedBull,2023,8,4.53,2.98,1.79,1.19,0.48,0.48,0.48,137.4,estimated
RedBull,2023,9,4.39,2.89,1.73,1.16,0.46,0.46,0.46,137.4,estimated
RedBull,2023,10,4.44,2.92,1.75,1.17,0.47,0.47,0.47,137.4,estimated
RedBull,2023,11,4.15,2.73,1.64,1.09,0.44,0.44,0.44,137.4,estimated
RedBull,2023,12,4.31,2.84,1.7,1.13,0.45,0.45,0.45,137.4,estimated
